otu_id	kingdom	phylum	class	order	family	genus	species
OTU7487	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	
OTU7489	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7492	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7493	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	
OTU7495	Bacteria						
OTU7496	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
OTU7497	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
OTU7498	Bacteria	Actinobacteria	Actinobacteria				
OTU7502	Bacteria	Bacteroidetes	Cytophagia	Order II	Rhodothermaceae		
OTU7507	Bacteria	Proteobacteria					
OTU7508	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7509	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7512	Bacteria	Actinobacteria	Actinobacteria				
OTU7514	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
OTU7520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7521	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
OTU7523	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7525	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU7526	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7527	Bacteria	Proteobacteria					
OTU7530	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae		
OTU7532	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	
OTU7534	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19		
OTU7535	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae		
OTU7536	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7538	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7546	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
OTU7547	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7548	Bacteria	Bacteroidetes	Cytophagia	Cytophagales			
OTU7549	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7551	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	
OTU7555	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
OTU7558	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Elev-16S-1332		
OTU7562	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7564	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7567	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7570	Bacteria	Chloroflexi	TK10				
OTU7572	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	
OTU7573	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU7575	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7578	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	
OTU7579	Bacteria						
OTU7583	Bacteria						
OTU7584	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7585	Bacteria						
OTU7586	Bacteria	Proteobacteria					
OTU7590	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7591	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU7592	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
