otu_id	kingdom	phylum	class	order	family	genus	species
OTU4525	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU4526	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
OTU4528	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	
OTU4529	Fungi						
OTU4530	Fungi	Ascomycota					
OTU4531	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
OTU4532	Fungi						
OTU4533	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
OTU4534	Fungi						
OTU4536	Fungi						
OTU4537	Fungi						
OTU4540	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia_frigida
OTU4543	Fungi	Ascomycota					
OTU4544	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
OTU4547	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
OTU4548	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_nigrum
OTU4549	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
OTU4551	Fungi						
OTU4553	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera	Lectera_colletotrichoides
OTU4554	Fungi						
OTU4558	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
OTU4561	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU4562	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU4563	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
OTU4567	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis		
OTU4569	Fungi						
OTU4577	Fungi	Ascomycota					
OTU4579	Fungi	Ascomycota					
OTU4580	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	
OTU4581	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales			
OTU4584	Fungi						
OTU4585	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
OTU4586	Fungi						
OTU4587	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU4588	Fungi						
OTU4592	Fungi						
OTU4593	Fungi						
OTU4596	Fungi	Ascomycota	Sordariomycetes				
OTU4597	Fungi						
OTU4599	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4604	Fungi						
OTU4605	Fungi	Ascomycota					
OTU4606	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_macerans
OTU4607	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	
OTU4616	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_dimennae
OTU4617	Fungi						
OTU4619	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Lectera	Lectera_colletotrichoides
OTU4621	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
OTU4622	Fungi	Ascomycota					
OTU4623	Fungi	Ascomycota					
OTU4624	Fungi						
OTU4625	Fungi	Ascomycota					
OTU4626	Fungi						
OTU4628	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
OTU4629	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
OTU4630	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	Phialemonium_inflatum
OTU4631	Fungi	Ascomycota					
OTU4632	Fungi	Ascomycota					
OTU4633	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
OTU4636	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4638	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU4640	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
OTU4643	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU4644	Fungi						
OTU4645	Fungi						
OTU4648	Fungi	Ascomycota					
OTU4649	Fungi						
OTU4650	Fungi						
OTU4651	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
OTU4652	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
OTU4653	Fungi						
OTU4654	Fungi	Ascomycota					
OTU4655	Fungi						
OTU4656	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU4657	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	
OTU4658	Fungi	Ascomycota					
OTU4659	Fungi						
OTU4665	Fungi						
OTU4666	Fungi						
OTU4669	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	
OTU4671	Fungi						
OTU4672	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU4673	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU4674	Fungi						
OTU4676	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	
OTU4678	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia_hungarica
OTU4679	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_dimennae
